hand,position,action,win_rate,player_count,simulations_run,expected_value,confidence_interval_low,confidence_interval_high,in_range
63s,MP2,opening_raise,0.095471,9,1000000,0.000000,0.094895,0.096047,false
T3s,MP2,opening_raise,0.095165,9,1000000,0.000000,0.094590,0.095740,false
T2s,MP2,opening_raise,0.094266,9,1000000,0.000000,0.093693,0.094839,false
J8o,MP2,opening_raise,0.093436,9,1000000,0.000000,0.092866,0.094006,false
Q8o,MP2,opening_raise,0.091825,9,1000000,0.000000,0.091259,0.092391,false
73s,MP2,opening_raise,0.091001,9,1000000,0.000000,0.090437,0.091565,false
94s,MP2,opening_raise,0.090572,9,1000000,0.000000,0.090009,0.091135,false
K8o,MP2,opening_raise,0.090494,9,1000000,0.000000,0.089932,0.091056,false
93s,MP2,opening_raise,0.089849,9,1000000,0.000000,0.089289,0.090409,false
92s,MP2,opening_raise,0.089420,9,1000000,0.000000,0.088861,0.089979,false
87o,MP2,opening_raise,0.089127,9,1000000,0.000000,0.088569,0.089685,false
83s,MP2,opening_raise,0.087188,9,1000000,0.000000,0.086635,0.087741,false
62s,MP2,opening_raise,0.086865,9,1000000,0.000000,0.086313,0.087417,false
82s,MP2,opening_raise,0.086427,9,1000000,0.000000,0.085876,0.086978,false
K7o,MP2,opening_raise,0.085586,9,1000000,0.000000,0.085038,0.086134,false
72s,MP2,opening_raise,0.083809,9,1000000,0.000000,0.083266,0.084352,false
97o,MP2,opening_raise,0.083107,9,1000000,0.000000,0.082566,0.083648,false
K6o,MP2,opening_raise,0.081898,9,1000000,0.000000,0.081361,0.082435,false
K5o,MP2,opening_raise,0.079447,9,1000000,0.000000,0.078917,0.079977,false
K4o,MP2,opening_raise,0.078548,9,1000000,0.000000,0.078021,0.079075,false
T7o,MP2,opening_raise,0.078425,9,1000000,0.000000,0.077898,0.078952,false
54o,MP2,opening_raise,0.078127,9,1000000,0.000000,0.077601,0.078653,false
K3o,MP2,opening_raise,0.077704,9,1000000,0.000000,0.077179,0.078229,false
K2o,MP2,opening_raise,0.077445,9,1000000,0.000000,0.076921,0.077969,false
86o,MP2,opening_raise,0.076611,9,1000000,0.000000,0.076090,0.077132,false
J7o,MP2,opening_raise,0.075483,9,1000000,0.000000,0.074965,0.076001,false
65o,MP2,opening_raise,0.075217,9,1000000,0.000000,0.074700,0.075734,false
76o,MP2,opening_raise,0.075012,9,1000000,0.000000,0.074496,0.075528,false
Q7o,MP2,opening_raise,0.074968,9,1000000,0.000000,0.074452,0.075484,false
75o,MP2,opening_raise,0.073014,9,1000000,0.000000,0.072504,0.073524,false
Q6o,MP2,opening_raise,0.071746,9,1000000,0.000000,0.071240,0.072252,false
53o,MP2,opening_raise,0.070672,9,1000000,0.000000,0.070170,0.071174,false
96o,MP2,opening_raise,0.070655,9,1000000,0.000000,0.070153,0.071157,false
Q5o,MP2,opening_raise,0.069397,9,1000000,0.000000,0.068899,0.069895,false
Q4o,MP2,opening_raise,0.068612,9,1000000,0.000000,0.068117,0.069107,false
Q3o,MP2,opening_raise,0.067917,9,1000000,0.000000,0.067424,0.068410,false
Q2o,MP2,opening_raise,0.067833,9,1000000,0.000000,0.067340,0.068326,false
64o,MP2,opening_raise,0.067585,9,1000000,0.000000,0.067093,0.068077,false
43o,MP2,opening_raise,0.067545,9,1000000,0.000000,0.067053,0.068037,false
85o,MP2,opening_raise,0.067348,9,1000000,0.000000,0.066857,0.067839,false
T6o,MP2,opening_raise,0.066061,9,1000000,0.000000,0.065574,0.066548,false
J6o,MP2,opening_raise,0.063530,9,1000000,0.000000,0.063052,0.064008,false
74o,MP2,opening_raise,0.062478,9,1000000,0.000000,0.062004,0.062952,false
52o,MP2,opening_raise,0.062241,9,1000000,0.000000,0.061767,0.062715,false
J5o,MP2,opening_raise,0.061539,9,1000000,0.000000,0.061068,0.062010,false
J4o,MP2,opening_raise,0.060949,9,1000000,0.000000,0.060480,0.061418,false
95o,MP2,opening_raise,0.060496,9,1000000,0.000000,0.060029,0.060963,false
42o,MP2,opening_raise,0.060357,9,1000000,0.000000,0.059890,0.060824,false
J3o,MP2,opening_raise,0.059638,9,1000000,0.000000,0.059174,0.060102,false
J2o,MP2,opening_raise,0.059420,9,1000000,0.000000,0.058957,0.059883,false
32o,MP2,opening_raise,0.058341,9,1000000,0.000000,0.057882,0.058800,false
63o,MP2,opening_raise,0.057183,9,1000000,0.000000,0.056728,0.057638,false
84o,MP2,opening_raise,0.057101,9,1000000,0.000000,0.056646,0.057556,false
T5o,MP2,opening_raise,0.055820,9,1000000,0.000000,0.055370,0.056270,false
T4o,MP2,opening_raise,0.054927,9,1000000,0.000000,0.054480,0.055374,false
T3o,MP2,opening_raise,0.053860,9,1000000,0.000000,0.053418,0.054302,false
T2o,MP2,opening_raise,0.053295,9,1000000,0.000000,0.052855,0.053735,false
73o,MP2,opening_raise,0.052642,9,1000000,0.000000,0.052204,0.053080,false
94o,MP2,opening_raise,0.051095,9,1000000,0.000000,0.050663,0.051527,false
93o,MP2,opening_raise,0.049782,9,1000000,0.000000,0.049356,0.050208,false
92o,MP2,opening_raise,0.049260,9,1000000,0.000000,0.048836,0.049684,false
62o,MP2,opening_raise,0.048275,9,1000000,0.000000,0.047855,0.048695,false
83o,MP2,opening_raise,0.047624,9,1000000,0.000000,0.047207,0.048041,false
82o,MP2,opening_raise,0.046652,9,1000000,0.000000,0.046239,0.047065,false
72o,MP2,opening_raise,0.044322,9,1000000,0.000000,0.043919,0.044725,false
