hand,position,action,win_rate,player_count,simulations_run,expected_value,confidence_interval_low,confidence_interval_high,in_range
K3o,SB,4_bet,0.129776,6,500000,0.000000,0.128844,0.130708,false
42s,SB,4_bet,0.129618,6,500000,0.000000,0.128687,0.130549,false
94s,SB,4_bet,0.129184,6,500000,0.000000,0.128254,0.130114,false
Q7o,SB,4_bet,0.129132,6,500000,0.000000,0.128202,0.130062,false
63s,SB,4_bet,0.128922,6,500000,0.000000,0.127993,0.129851,false
97o,SB,4_bet,0.128772,6,500000,0.000000,0.127844,0.129700,false
93s,SB,4_bet,0.128200,6,500000,0.000000,0.127273,0.129127,false
92s,SB,4_bet,0.127164,6,500000,0.000000,0.126241,0.128087,false
T7o,SB,4_bet,0.126206,6,500000,0.000000,0.125286,0.127126,false
J7o,SB,4_bet,0.126064,6,500000,0.000000,0.125144,0.126984,false
32s,SB,4_bet,0.125870,6,500000,0.000000,0.124951,0.126789,false
73s,SB,4_bet,0.125786,6,500000,0.000000,0.124867,0.126705,false
Q6o,SB,4_bet,0.121698,6,500000,0.000000,0.120792,0.122604,false
83s,SB,4_bet,0.121658,6,500000,0.000000,0.120752,0.122564,false
82s,SB,4_bet,0.120142,6,500000,0.000000,0.119241,0.121043,false
Q5o,SB,4_bet,0.119600,6,500000,0.000000,0.118701,0.120499,false
62s,SB,4_bet,0.118324,6,500000,0.000000,0.117429,0.119219,false
Q3o,SB,4_bet,0.116768,6,500000,0.000000,0.115878,0.117658,false
Q4o,SB,4_bet,0.116738,6,500000,0.000000,0.115848,0.117628,false
86o,SB,4_bet,0.115992,6,500000,0.000000,0.115104,0.116880,false
72s,SB,4_bet,0.114988,6,500000,0.000000,0.114104,0.115872,false
Q2o,SB,4_bet,0.114258,6,500000,0.000000,0.113376,0.115140,false
76o,SB,4_bet,0.114220,6,500000,0.000000,0.113338,0.115102,false
54o,SB,4_bet,0.111482,6,500000,0.000000,0.110610,0.112354,false
65o,SB,4_bet,0.111444,6,500000,0.000000,0.110572,0.112316,false
96o,SB,4_bet,0.111268,6,500000,0.000000,0.110396,0.112140,false
J6o,SB,4_bet,0.109486,6,500000,0.000000,0.108620,0.110352,false
T6o,SB,4_bet,0.108998,6,500000,0.000000,0.108134,0.109862,false
75o,SB,4_bet,0.108932,6,500000,0.000000,0.108068,0.109796,false
J5o,SB,4_bet,0.106294,6,500000,0.000000,0.105440,0.107148,false
85o,SB,4_bet,0.104562,6,500000,0.000000,0.103714,0.105410,false
J4o,SB,4_bet,0.103730,6,500000,0.000000,0.102885,0.104575,false
J3o,SB,4_bet,0.102916,6,500000,0.000000,0.102074,0.103758,false
J2o,SB,4_bet,0.102162,6,500000,0.000000,0.101323,0.103001,false
53o,SB,4_bet,0.101988,6,500000,0.000000,0.101149,0.102827,false
64o,SB,4_bet,0.100672,6,500000,0.000000,0.099838,0.101506,false
95o,SB,4_bet,0.098410,6,500000,0.000000,0.097584,0.099236,false
43o,SB,4_bet,0.097386,6,500000,0.000000,0.096564,0.098208,false
T5o,SB,4_bet,0.096474,6,500000,0.000000,0.095656,0.097292,false
74o,SB,4_bet,0.095856,6,500000,0.000000,0.095040,0.096672,false
T4o,SB,4_bet,0.094562,6,500000,0.000000,0.093751,0.095373,false
T3o,SB,4_bet,0.093016,6,500000,0.000000,0.092211,0.093821,false
T2o,SB,4_bet,0.091926,6,500000,0.000000,0.091125,0.092727,false
84o,SB,4_bet,0.091566,6,500000,0.000000,0.090767,0.092365,false
52o,SB,4_bet,0.090868,6,500000,0.000000,0.090071,0.091665,false
42o,SB,4_bet,0.088224,6,500000,0.000000,0.087438,0.089010,false
63o,SB,4_bet,0.087558,6,500000,0.000000,0.086775,0.088341,false
94o,SB,4_bet,0.087226,6,500000,0.000000,0.086444,0.088008,false
93o,SB,4_bet,0.085222,6,500000,0.000000,0.084448,0.085996,false
32o,SB,4_bet,0.084772,6,500000,0.000000,0.084000,0.085544,false
92o,SB,4_bet,0.084338,6,500000,0.000000,0.083568,0.085108,false
73o,SB,4_bet,0.083424,6,500000,0.000000,0.082658,0.084190,false
83o,SB,4_bet,0.079794,6,500000,0.000000,0.079043,0.080545,false
82o,SB,4_bet,0.078846,6,500000,0.000000,0.078099,0.079593,false
62o,SB,4_bet,0.076274,6,500000,0.000000,0.075538,0.077010,false
72o,SB,4_bet,0.073280,6,500000,0.000000,0.072558,0.074002,false
