hand,position,action,win_rate,player_count,simulations_run,expected_value,confidence_interval_low,confidence_interval_high,in_range
T9o,CO,4_bet,0.156194,6,500000,0.000000,0.155188,0.157200,false
86s,CO,4_bet,0.154340,6,500000,0.000000,0.153339,0.155341,false
76s,CO,4_bet,0.152588,6,500000,0.000000,0.151591,0.153585,false
K8o,CO,4_bet,0.152518,6,500000,0.000000,0.151521,0.153515,false
96s,CO,4_bet,0.151844,6,500000,0.000000,0.150849,0.152839,false
Q8o,CO,4_bet,0.150820,6,500000,0.000000,0.149828,0.151812,false
54s,CO,4_bet,0.150394,6,500000,0.000000,0.149403,0.151385,false
J6s,CO,4_bet,0.150250,6,500000,0.000000,0.149260,0.151240,false
65s,CO,4_bet,0.150174,6,500000,0.000000,0.149184,0.151164,false
98o,CO,4_bet,0.149716,6,500000,0.000000,0.148727,0.150705,false
J5s,CO,4_bet,0.149488,6,500000,0.000000,0.148500,0.150476,false
T6s,CO,4_bet,0.149330,6,500000,0.000000,0.148342,0.150318,false
J8o,CO,4_bet,0.149188,6,500000,0.000000,0.148200,0.150176,false
T8o,CO,4_bet,0.149134,6,500000,0.000000,0.148147,0.150121,false
75s,CO,4_bet,0.148022,6,500000,0.000000,0.147038,0.149006,false
J4s,CO,4_bet,0.147086,6,500000,0.000000,0.146104,0.148068,false
J3s,CO,4_bet,0.146856,6,500000,0.000000,0.145875,0.147837,false
J2s,CO,4_bet,0.145890,6,500000,0.000000,0.144912,0.146868,false
85s,CO,4_bet,0.144658,6,500000,0.000000,0.143683,0.145633,false
K7o,CO,4_bet,0.143924,6,500000,0.000000,0.142951,0.144897,false
64s,CO,4_bet,0.140554,6,500000,0.000000,0.139591,0.141517,false
53s,CO,4_bet,0.140306,6,500000,0.000000,0.139343,0.141269,false
95s,CO,4_bet,0.139356,6,500000,0.000000,0.138396,0.140316,false
T5s,CO,4_bet,0.138836,6,500000,0.000000,0.137878,0.139794,false
K6o,CO,4_bet,0.137564,6,500000,0.000000,0.136609,0.138519,false
43s,CO,4_bet,0.137160,6,500000,0.000000,0.136206,0.138114,false
74s,CO,4_bet,0.136374,6,500000,0.000000,0.135423,0.137325,false
T3s,CO,4_bet,0.136140,6,500000,0.000000,0.135189,0.137091,false
T4s,CO,4_bet,0.136042,6,500000,0.000000,0.135092,0.136992,false
T2s,CO,4_bet,0.134190,6,500000,0.000000,0.133245,0.135135,false
K5o,CO,4_bet,0.133642,6,500000,0.000000,0.132699,0.134585,false
84s,CO,4_bet,0.132352,6,500000,0.000000,0.131413,0.133291,false
87o,CO,4_bet,0.131720,6,500000,0.000000,0.130783,0.132657,false
K4o,CO,4_bet,0.131550,6,500000,0.000000,0.130613,0.132487,false
52s,CO,4_bet,0.130920,6,500000,0.000000,0.129985,0.131855,false
K2o,CO,4_bet,0.129958,6,500000,0.000000,0.129026,0.130890,false
K3o,CO,4_bet,0.129776,6,500000,0.000000,0.128844,0.130708,false
42s,CO,4_bet,0.129618,6,500000,0.000000,0.128687,0.130549,false
94s,CO,4_bet,0.129184,6,500000,0.000000,0.128254,0.130114,false
Q7o,CO,4_bet,0.129132,6,500000,0.000000,0.128202,0.130062,false
63s,CO,4_bet,0.128922,6,500000,0.000000,0.127993,0.129851,false
97o,CO,4_bet,0.128772,6,500000,0.000000,0.127844,0.129700,false
93s,CO,4_bet,0.128200,6,500000,0.000000,0.127273,0.129127,false
92s,CO,4_bet,0.127164,6,500000,0.000000,0.126241,0.128087,false
T7o,CO,4_bet,0.126206,6,500000,0.000000,0.125286,0.127126,false
J7o,CO,4_bet,0.126064,6,500000,0.000000,0.125144,0.126984,false
32s,CO,4_bet,0.125870,6,500000,0.000000,0.124951,0.126789,false
73s,CO,4_bet,0.125786,6,500000,0.000000,0.124867,0.126705,false
Q6o,CO,4_bet,0.121698,6,500000,0.000000,0.120792,0.122604,false
83s,CO,4_bet,0.121658,6,500000,0.000000,0.120752,0.122564,false
82s,CO,4_bet,0.120142,6,500000,0.000000,0.119241,0.121043,false
Q5o,CO,4_bet,0.119600,6,500000,0.000000,0.118701,0.120499,false
62s,CO,4_bet,0.118324,6,500000,0.000000,0.117429,0.119219,false
